lpr             |          | ЛПР   | Либертарианская партия России                |                |
reg_dept        | lpr      | РО    | Региональное отделение                       | FederalSubject |
fed_management  | lpr      | ФК    | Федеральный комитет                          |                |
fed_supervision | lpr      | ЦКРК  | Центральная контрольно-ревизионная комиссия  |                |
reg_management  | reg_dept | РК РО | Руководящий комитет регионального отделения  |                |
reg_supervision | reg_dept | РКРК  | Региональная контрольно-ревизионная комиссия |                |
